date,SPY,VOO,VFH,cross_asset_confirmation
2025-01-29,-1.375,-1.2799999999999727,-0.35666666666668334,True
2024-12-18,-1.5199999999999818,-1.4200000000000728,-0.2849999999999966,True
2024-11-07,111.625,-0.128333333333444,-0.0016666666666651508,False
2024-09-18,4.07000000000005,3.853333333333353,0.8499999999999943,True
2024-07-31,-0.6800000000000637,-1.4007692307691855,-0.14333333333334508,True
2024-06-12,-0.3670833333334258,-0.875,-0.6033333333333388,True
2024-05-01,1.0000000000000568,0.8621428571428851,0.12214285714284756,True
2024-03-20,0.9791666666666288,0.8650000000000659,0.5800000000000125,True
2024-01-31,11.801666666666677,-1.0616666666666674,-0.22000000000001307,False
2023-12-13,1.3316666666666492,1.2200000000000273,0.2300000000000182,True
2023-11-01,0.6733333333333462,-0.13676470588239908,0.1349999999999909,False
2023-09-20,-1.1750000000000114,-1.1050000000000182,-1.5600000000000023,True
2023-07-26,0.37000000000000455,0.35499999999996135,0.04999999999999716,True
2023-06-14,-1.1061111111111472,-7.593333333333305,-2.0249999999999915,True
2023-05-03,0.5735714285714266,0.5724999999999909,0.10499999999998977,True
2023-03-22,1.8688888888888755,1.704999999999984,0.35533333333331996,True
2023-02-01,-1.3749999999999432,-0.9066666666666947,-1.470000000000013,True
2022-12-14,-2.2484999999999786,-1.955000000000041,-0.37999999999999545,True
2022-11-02,2.4775000000000205,2.294999999999959,0.35999999999999943,True
2022-09-21,-3.8350000000000364,-3.5149999999999864,-0.7249999999999943,True
2022-07-27,-0.21333333333330984,-0.05000000000006821,-0.010000000000005116,True
2022-06-15,0.4300000000000068,4.632000000000062,0.0549999999999784,True
2022-05-04,0.5283333333333644,0.5550000000000637,0.09499999999999886,True
2022-03-16,-0.1536363636363376,-0.14999999999997726,0.29999999999999716,False
2022-01-26,0.7800000000000864,0.589999999999975,0.17499999999999716,True
