date,actual_change_bp,predicted,surprise,pre_imbalance,post_imbalance,imbalance_shift,SPY,VOO,VFH,cross_asset_confirmation,spy_move,signal,actual_direction,correct,pnl
2024-09-18,-25,0.2874570763078319,-17.08333333333298,0.0167055055676692,-0.0269138492350814,-0.0436193548027506,4.07000000000005,3.853333333333353,0.8499999999999943,True,4.07000000000005,1.0,1.0,True,4.07000000000005
2024-07-31,-50,0.0990146548482187,48.74999999999972,-0.1085578739730159,0.0047053212768907,0.1132631952499066,-0.6800000000000637,-1.4007692307691857,-0.143333333333345,True,-0.6800000000000637,1.0,-1.0,False,-0.6800000000000637
2024-06-12,0,-0.9162503325092448,-1.2499999999988625,-0.1831347417723723,0.241777415841174,0.4249121576135464,-0.3670833333334258,-0.875,-0.6033333333333388,True,-0.3670833333334258,-1.0,-1.0,True,0.3670833333334258
2024-05-01,0,0.6021195069433931,-1.4210854715202008e-12,0.1359362079264762,-0.0021807703658004,-0.1381169782922766,1.0000000000000568,0.8621428571428851,0.1221428571428475,True,1.0000000000000568,1.0,1.0,True,1.0000000000000568
2024-03-20,0,0.07963756104024089,0.0,-0.0637107007631873,-0.0075181850144621,0.0561925157487251,0.9791666666666288,0.8650000000000659,0.5800000000000125,True,0.9791666666666288,1.0,1.0,True,0.9791666666666288
2024-01-31,0,4.0230260435070475,-0.499999999999545,-0.0656399319191707,0.0300943162616015,0.0957342481807723,11.801666666666677,-1.0616666666666674,-0.220000000000013,False,11.801666666666677,1.0,1.0,True,11.801666666666677
2023-12-13,0,0.1161446134452806,0.5961538461533226,0.0165798984940162,0.0599815790999502,0.043401680605934,1.3316666666666492,1.2200000000000273,0.2300000000000182,True,1.3316666666666492,1.0,1.0,True,1.3316666666666492
2023-11-01,0,4.0975370438251195,-0.4038461538470075,-0.105153498555606,-0.037002892519496,0.06815060603611,0.6733333333333462,-0.136764705882399,0.1349999999999909,False,0.6733333333333462,1.0,1.0,True,0.6733333333333462
2023-09-20,0,0.855541528089192,0.37499999999957,0.2414733881191305,0.0096039460931254,-0.2318694420260051,-1.1750000000000114,-1.1050000000000182,-1.5600000000000025,True,-1.1750000000000114,1.0,-1.0,False,-1.1750000000000114
2023-07-26,0,0.40021507615121266,24.44230769230753,-0.0094530025004568,-0.0402550916507456,-0.0308020891502888,0.3700000000000045,0.3549999999999613,0.0499999999999971,True,0.3700000000000045,1.0,1.0,True,0.3700000000000045
2023-06-14,25,0.01475503360447572,-22.115384615385825,0.0400455011238522,0.0912084626131901,0.0511629614893378,-1.1061111111111472,-7.593333333333305,-2.0249999999999915,True,-1.1061111111111472,1.0,-1.0,False,-1.1061111111111472
2023-05-03,0,0.45106699341149614,26.9404761905025,-0.0410741151810896,-0.0874940426155788,-0.0464199274344892,0.5735714285714266,0.5724999999999909,0.1049999999999897,True,0.5735714285714266,1.0,1.0,True,0.5735714285714266
2023-03-22,25,0.4672147248482803,-4.568181818182371,0.0861665988488543,-0.0078028450552325,-0.0939694439040869,1.8688888888888755,1.704999999999984,0.3553333333333199,True,1.8688888888888755,1.0,1.0,True,1.8688888888888755
2023-02-01,25,0.07456861143708338,1.0227272727282042,-0.0223551544251808,0.0370709564904975,0.0594261109156783,-1.3749999999999432,-0.9066666666666948,-1.470000000000013,True,-1.3749999999999432,1.0,-1.0,False,-1.3749999999999432
2022-12-14,25,-0.27481369301305225,25.374999999998145,-0.1975238794279215,0.0239449954285915,0.2214688748565131,-2.248499999999978,-1.955000000000041,-0.3799999999999954,True,-2.248499999999978,-1.0,-1.0,True,2.248499999999978
2022-11-02,50,0.4557712799484217,35.71428571430201,-0.0181032677378775,-0.0547044216674245,-0.0366011539295469,2.4775000000000205,2.294999999999959,0.3599999999999994,True,2.4775000000000205,1.0,1.0,True,2.4775000000000205
2022-09-21,75,0.07516373269759669,4.6428571428577925,-0.0495201328513056,0.0144578020303012,0.0639779348816069,-3.835000000000037,-3.5149999999999864,-0.7249999999999943,True,-3.835000000000037,1.0,-1.0,False,-3.835000000000037
2022-07-27,75,0.09776981404606833,3.361111111109992,-0.0774211873586787,-0.0235403718989347,0.053880815459744,-0.2133333333333098,-0.0500000000000682,-0.0100000000000051,True,-0.2133333333333098,1.0,-1.0,False,-0.2133333333333098
2022-06-15,75,-0.1988753255836535,-0.11111111111164,-0.1528661210760303,0.0067580152235084,0.1596241362995388,0.4300000000000068,4.632000000000062,0.0549999999999784,True,0.4300000000000068,-1.0,1.0,False,-0.4300000000000068
2022-05-04,75,0.31157926339228625,-14.793981481479465,-0.0222548441610674,-0.0718266545919772,-0.0495718104309097,0.5283333333333644,0.5550000000000637,0.0949999999999988,True,0.5283333333333644,1.0,1.0,True,0.5283333333333644
2022-03-16,50,4.2008005490315155,-21.90625000000077,0.0353108706306581,0.0367071252583092,0.001396254627651,-0.1536363636363376,-0.1499999999999772,0.2999999999999971,False,-0.1536363636363376,1.0,-1.0,False,-0.1536363636363376
2022-01-26,25,0.41101908724413905,-23.50961538461505,0.070886772484775,-0.027157994154551,-0.098044766639326,0.7800000000000864,0.589999999999975,0.1749999999999971,True,0.7800000000000864,1.0,1.0,True,0.7800000000000864
